,Language,Compressions
325,en2hy,"tensor(0.6529, dtype=torch.float64)"
326,en2hy,"tensor(0.7841, dtype=torch.float64)"
327,en2hy,"tensor(0.6948, dtype=torch.float64)"
328,en2hy,"tensor(0.5772, dtype=torch.float64)"
329,en2hy,"tensor(0.6335, dtype=torch.float64)"
330,en2hy,"tensor(0.6483, dtype=torch.float64)"
331,en2hy,"tensor(0.6127, dtype=torch.float64)"
332,en2hy,"tensor(0.5888, dtype=torch.float64)"
333,en2hy,"tensor(0.6222, dtype=torch.float64)"
334,en2hy,"tensor(0.6667, dtype=torch.float64)"
335,en2hy,"tensor(0.6045, dtype=torch.float64)"
336,en2hy,"tensor(0.6443, dtype=torch.float64)"
337,en2hy,"tensor(0.6326, dtype=torch.float64)"
338,en2hy,"tensor(0.6370, dtype=torch.float64)"
339,en2hy,"tensor(0.6667, dtype=torch.float64)"
340,en2hy,"tensor(0.5672, dtype=torch.float64)"
341,en2hy,"tensor(0.6805, dtype=torch.float64)"
342,en2hy,"tensor(0.6564, dtype=torch.float64)"
343,en2hy,"tensor(0.5738, dtype=torch.float64)"
344,en2hy,"tensor(0.7167, dtype=torch.float64)"
345,en2hy,"tensor(0.7042, dtype=torch.float64)"
346,en2hy,"tensor(0.7283, dtype=torch.float64)"
347,en2hy,"tensor(0.6719, dtype=torch.float64)"
348,en2hy,"tensor(0.5736, dtype=torch.float64)"
349,en2hy,"tensor(0.7312, dtype=torch.float64)"
350,en2hy,"tensor(0.6575, dtype=torch.float64)"
351,en2hy,"tensor(0.7127, dtype=torch.float64)"
352,en2hy,"tensor(0.7053, dtype=torch.float64)"
353,en2hy,"tensor(0.6057, dtype=torch.float64)"
354,en2hy,"tensor(0.6570, dtype=torch.float64)"
355,en2hy,"tensor(0.6070, dtype=torch.float64)"
356,en2hy,"tensor(0.7156, dtype=torch.float64)"
357,en2hy,"tensor(0.5917, dtype=torch.float64)"
358,en2hy,"tensor(0.6579, dtype=torch.float64)"
359,en2hy,"tensor(0.7305, dtype=torch.float64)"
360,en2hy,"tensor(0.5931, dtype=torch.float64)"
361,en2hy,"tensor(0.6150, dtype=torch.float64)"
362,en2hy,"tensor(0.6102, dtype=torch.float64)"
363,en2hy,"tensor(0.6195, dtype=torch.float64)"
364,en2hy,"tensor(0.8292, dtype=torch.float64)"
365,en2hy,"tensor(0.6903, dtype=torch.float64)"
366,en2hy,"tensor(0.7182, dtype=torch.float64)"
367,en2hy,"tensor(0.7188, dtype=torch.float64)"
368,en2hy,"tensor(0.6683, dtype=torch.float64)"
369,en2hy,"tensor(0.7167, dtype=torch.float64)"
370,en2hy,"tensor(0.7218, dtype=torch.float64)"
371,en2hy,"tensor(0.6192, dtype=torch.float64)"
372,en2hy,"tensor(0.5852, dtype=torch.float64)"
373,en2hy,"tensor(0.6528, dtype=torch.float64)"
374,en2hy,"tensor(0.6842, dtype=torch.float64)"
375,en2hy,"tensor(0.6243, dtype=torch.float64)"
376,en2hy,"tensor(0.6362, dtype=torch.float64)"
377,en2hy,"tensor(0.5773, dtype=torch.float64)"
378,en2hy,"tensor(0.6410, dtype=torch.float64)"
379,en2hy,"tensor(0.6239, dtype=torch.float64)"
380,en2hy,"tensor(0.7051, dtype=torch.float64)"
381,en2hy,"tensor(0.6452, dtype=torch.float64)"
382,en2hy,"tensor(0.6103, dtype=torch.float64)"
383,en2hy,"tensor(0.6767, dtype=torch.float64)"
384,en2hy,"tensor(0.6639, dtype=torch.float64)"
385,en2hy,"tensor(0.6793, dtype=torch.float64)"
386,en2hy,"tensor(0.6353, dtype=torch.float64)"
387,en2hy,"tensor(0.6814, dtype=torch.float64)"
388,en2hy,"tensor(0.6233, dtype=torch.float64)"
389,en2hy,"tensor(0.6829, dtype=torch.float64)"
390,en2hy,"tensor(0.6730, dtype=torch.float64)"
391,en2hy,"tensor(0.7619, dtype=torch.float64)"
392,en2hy,"tensor(0.7284, dtype=torch.float64)"
393,en2hy,"tensor(0.6310, dtype=torch.float64)"
394,en2hy,"tensor(0.6224, dtype=torch.float64)"
395,en2hy,"tensor(0.6397, dtype=torch.float64)"
396,en2hy,"tensor(0.6074, dtype=torch.float64)"
397,en2hy,"tensor(0.5542, dtype=torch.float64)"
398,en2hy,"tensor(0.7405, dtype=torch.float64)"
399,en2hy,"tensor(0.6667, dtype=torch.float64)"
400,en2ru,"tensor(0.6757, dtype=torch.float64)"
401,en2ru,"tensor(0.6395, dtype=torch.float64)"
402,en2ru,"tensor(0.6304, dtype=torch.float64)"
403,en2ru,"tensor(0.7259, dtype=torch.float64)"
404,en2ru,"tensor(0.6359, dtype=torch.float64)"
405,en2ru,"tensor(0.6646, dtype=torch.float64)"
406,en2ru,"tensor(0.7464, dtype=torch.float64)"
407,en2ru,"tensor(0.7055, dtype=torch.float64)"
408,en2ru,"tensor(0.6434, dtype=torch.float64)"
409,en2ru,"tensor(0.5978, dtype=torch.float64)"
410,en2ru,"tensor(0.7004, dtype=torch.float64)"
411,en2ru,"tensor(0.6495, dtype=torch.float64)"
412,en2ru,"tensor(0.6997, dtype=torch.float64)"
413,en2ru,"tensor(0.6223, dtype=torch.float64)"
414,en2ru,"tensor(0.7330, dtype=torch.float64)"
415,en2ru,"tensor(0.6010, dtype=torch.float64)"
416,en2ru,"tensor(0.6941, dtype=torch.float64)"
417,en2ru,"tensor(0.5875, dtype=torch.float64)"
418,en2ru,"tensor(0.6150, dtype=torch.float64)"
419,en2ru,"tensor(0.6166, dtype=torch.float64)"
420,en2ru,"tensor(0.7171, dtype=torch.float64)"
421,en2ru,"tensor(0.7126, dtype=torch.float64)"
422,en2ru,"tensor(0.7849, dtype=torch.float64)"
423,en2ru,"tensor(0.7439, dtype=torch.float64)"
424,en2ru,"tensor(0.6331, dtype=torch.float64)"
425,en2ru,"tensor(0.6313, dtype=torch.float64)"
426,en2ru,"tensor(0.7355, dtype=torch.float64)"
427,en2ru,"tensor(0.6738, dtype=torch.float64)"
428,en2ru,"tensor(0.5906, dtype=torch.float64)"
429,en2ru,"tensor(0.6652, dtype=torch.float64)"
430,en2ru,"tensor(0.6438, dtype=torch.float64)"
431,en2ru,"tensor(0.6936, dtype=torch.float64)"
432,en2ru,"tensor(0.6014, dtype=torch.float64)"
433,en2ru,"tensor(0.6542, dtype=torch.float64)"
434,en2ru,"tensor(0.6546, dtype=torch.float64)"
435,en2ru,"tensor(0.6195, dtype=torch.float64)"
436,en2ru,"tensor(0.6372, dtype=torch.float64)"
437,en2ru,"tensor(0.6702, dtype=torch.float64)"
438,en2ru,"tensor(0.7004, dtype=torch.float64)"
439,en2ru,"tensor(0.6304, dtype=torch.float64)"
440,en2ru,"tensor(0.5953, dtype=torch.float64)"
441,en2ru,"tensor(0.6798, dtype=torch.float64)"
442,en2ru,"tensor(0.6648, dtype=torch.float64)"
443,en2ru,"tensor(0.5627, dtype=torch.float64)"
444,en2ru,"tensor(0.6667, dtype=torch.float64)"
445,en2ru,"tensor(0.7060, dtype=torch.float64)"
446,en2ru,"tensor(0.7402, dtype=torch.float64)"
447,en2ru,"tensor(0.6438, dtype=torch.float64)"
448,en2ru,"tensor(0.6022, dtype=torch.float64)"
449,en2ru,"tensor(0.6941, dtype=torch.float64)"
450,en2ru,"tensor(0.6565, dtype=torch.float64)"
451,en2ru,"tensor(0.6847, dtype=torch.float64)"
452,en2ru,"tensor(0.6940, dtype=torch.float64)"
453,en2ru,"tensor(0.5571, dtype=torch.float64)"
454,en2ru,"tensor(0.6714, dtype=torch.float64)"
455,en2ru,"tensor(0.6356, dtype=torch.float64)"
456,en2ru,"tensor(0.6842, dtype=torch.float64)"
457,en2ru,"tensor(0.6737, dtype=torch.float64)"
458,en2ru,"tensor(0.6339, dtype=torch.float64)"
459,en2ru,"tensor(0.7270, dtype=torch.float64)"
460,en2ru,"tensor(0.6289, dtype=torch.float64)"
461,en2ru,"tensor(0.6281, dtype=torch.float64)"
462,en2ru,"tensor(0.6227, dtype=torch.float64)"
463,en2ru,"tensor(0.6697, dtype=torch.float64)"
464,en2ru,"tensor(0.7915, dtype=torch.float64)"
465,en2ru,"tensor(0.6571, dtype=torch.float64)"
466,en2ru,"tensor(0.7280, dtype=torch.float64)"
467,en2ru,"tensor(0.7143, dtype=torch.float64)"
468,en2ru,"tensor(0.6757, dtype=torch.float64)"
469,en2ru,"tensor(0.7032, dtype=torch.float64)"
470,en2ru,"tensor(0.7176, dtype=torch.float64)"
471,en2ru,"tensor(0.6556, dtype=torch.float64)"
472,en2ru,"tensor(0.6099, dtype=torch.float64)"
473,en2ru,"tensor(0.6305, dtype=torch.float64)"
474,en2ru,"tensor(0.7470, dtype=torch.float64)"
475,en2ru,"tensor(0.5987, dtype=torch.float64)"
476,en2ru,"tensor(0.7118, dtype=torch.float64)"
477,en2ru,"tensor(0.5907, dtype=torch.float64)"
478,en2ru,"tensor(0.6919, dtype=torch.float64)"
479,en2ru,"tensor(0.6920, dtype=torch.float64)"
480,en2ru,"tensor(0.6825, dtype=torch.float64)"
481,en2ru,"tensor(0.6969, dtype=torch.float64)"
482,en2ru,"tensor(0.6099, dtype=torch.float64)"
483,en2ru,"tensor(0.6285, dtype=torch.float64)"
484,en2ru,"tensor(0.6864, dtype=torch.float64)"
